DEPARTAMENTO,PROVINCIA,DISTRITO,EDAD,SEXO,PRIMERA CARRERA,SEGUNDA CARRERA
CALLAO,CALLAO,CALLAO,21,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,19,Femenino,Diseño Gráfico,Mecánica de Producción
CALLAO,CALLAO,CALLAO,17,Femenino,Contabilidad,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,25,Femenino,Administración,Contabilidad
LIMA,LIMA,SAN MARTIN DE PORRES,18,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,SANTIAGO DE SURCO,20,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,32,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,CALLAO,18,Masculino,Desarrollo de Sistemas de Información,Diseño Publicitario
LIMA,LIMA,LINCE,22,Masculino,Desarrollo de Sistemas de Información,Administración
CALLAO,CALLAO,CALLAO,18,Femenino,Diseño Gráfico,Secretariado Ejecutivo
LIMA,LIMA,SAN MIGUEL,18,Femenino,Secretariado Ejecutivo,Secretariado Ejecutivo
CALLAO,CALLAO,CALLAO,20,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE LURIGANCHO,18,Femenino,Diseño Publicitario,Construcción Civil
CALLAO,CALLAO,CALLAO,17,Masculino,Desarrollo de Sistemas de Información,Construcción Civil
LIMA,LIMA,SAN MIGUEL,20,Femenino,Diseño Publicitario,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,19,Femenino,Diseño Publicitario,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,29,Masculino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,17,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,VENTANILLA,18,Femenino,Administración,Secretariado Ejecutivo
LIMA,LIMA,CARABAYLLO,19,Femenino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,LA PERLA,34,Masculino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,LIMA,22,Femenino,Contabilidad,Administración
ANCASH,SANTA,CHIMBOTE,18,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,BELLAVISTA,18,Femenino,Contabilidad,Administración
LIMA,LIMA,SAN MIGUEL,22,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MIGUEL,24,Masculino,Desarrollo de Sistemas de Información,Mecánica Automotriz
CALLAO,CALLAO,CALLAO,22,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
